GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	2	0	0	0	0	0	0	0
Sbene_G00007	425	18	286	149	170	163	17	44
Sbene_G00008	4	0	0	0	0	0	0	6
Sbene_G00009	30	11	1	15	5	3	4	107
Sbene_G00010	58	54	22	37	247	88	8	24
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	6	0	0	0	5	0	19
Sbene_G00020	0	0	0	0	8	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	15	1	0	0	18	0	0
Sbene_G00029	0	2	1	11	2	1	0	1
Sbene_G00030	0	0	0	0	0	8	0	4
Sbene_G00031	29	48	15	147	10	18	2	41
Sbene_G00032	0	2	0	4	0	2	0	2
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	125	28	8	74	36	22	20	61
Sbene_G00037	0	0	0	0	4	0	0	0
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	12	0	12	0	0	0	6
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	5	7	41	0	43	7	11	8
Sbene_G00044	0	3	0	3	35	1	8	0
Sbene_G00045	0	0	0	0	40	2	11	3
Sbene_G00046	4	2	0	0	0	0	6	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	14	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	42	0	36	0	87	0	29
Sbene_G00053	1	2	1	2	0	6	2	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	19	0	0	7	10	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	1	0	3	4	14	0	0	4
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	6	0	0
Sbene_G00068	4	1	0	0	0	0	5	0
Sbene_G00069	2	0	2	0	0	0	0	0
Sbene_G00070	0	0	1	0	0	0	1	0
Sbene_G00073	1	1	8	23	1	5	31	18
Sbene_G00075	77	98	60	309	146	673	6	49
Sbene_G00078	0	7	2	12	0	2	3	18
Sbene_G00079	1	5	0	0	4	26	0	0
Sbene_G00080	0	0	0	0	0	0	4	0
Sbene_G00081	1	0	0	2	0	0	1	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	192	592	143	116	329	474	17	63
Sbene_G00085	770	556	161	175	97	127	5	93
Sbene_G00086	0	0	0	2	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	11	8	18	0	0	1	18
Sbene_G00092	0	2	0	4	2	11	0	3
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	0	0	0	0	0	0
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	23	5	40	57	140	2	9
Sbene_G00106	4	1	0	0	7	1	4	1
Sbene_G00107	2	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	0	3	0	2	0	9	0	0
Sbene_G00112	6	45	33	196	80	182	9	161
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	6	9	6	28	0	1	1	37
Sbene_G00121	6	0	7	0	47	0	17	3
Sbene_G00122	0	0	0	0	10	1	4	1
Sbene_G00123	0	0	0	0	0	0	2	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	2	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	8	0	4	2	9	0	1
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	6	6	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	137	22	105	6	35	16	1	6
Sbene_G00137	0	2	1	0	0	1	0	0
Sbene_G00138	47	18	54	13	73	12	5	10
Sbene_G00139	0	2	0	0	4	1	2	1
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	6	0
Sbene_G00142	52	14	16	8	45	7	0	0
Sbene_G00143	1	4	2	0	0	0	2	7
Sbene_G00144	19	27	9	24	0	8	11	14
Sbene_G00145	0	3	0	0	0	3	0	0
Sbene_G00146	39	68	157	109	31	48	40	42
Sbene_G00147	5	26	2	29	8	30	0	2
Sbene_G00148	439	103	194	511	1353	528	104	160
Sbene_G00149	222	187	201	510	298	321	77	166
Sbene_G00152	10	49	0	54	30	107	0	74
Sbene_G00153	35	110	52	44	4	22	54	99
Sbene_G00154	12	1	7	15	38	25	0	0
Sbene_G00155	364	514	583	538	258	472	187	960
Sbene_G00157	0	3	0	12	9	16	0	4
Sbene_G00158	0	0	0	0	497	180	2	11
Sbene_G00159	0	7	0	5	0	85	0	1
Sbene_G00161	21	48	9	20	0	0	0	54
Sbene_G00162	0	4	0	2	6	0	0	0
Sbene_G00163	0	0	1	1	0	4	0	0
Sbene_G00164	0	1	0	0	231	33	0	1
Sbene_G00165	62	2	4	39	0	1	15	41
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	18	35	54	63	1	3	4	26
Sbene_G00168	0	0	0	0	48	33	0	3
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	5	2	8	5	0	12	0	8
Sbene_G00173	1304	9356	2616	4650	11919	6367	157	3303
Sbene_G00174	3	1	0	2	4	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	8	0	0	0	0	0	0
Sbene_G00183	0	2	0	0	2	3	5	0
Sbene_G00184	0	0	6	12	0	15	0	5
Sbene_G00185	0	27	1	29	0	52	2	59
Sbene_G00192	0	0	0	2	0	0	0	0
Sbene_G00194	0	3	0	2	3	4	0	0
Sbene_G00195	161	147	112	24	618	255	0	1
Sbene_G00196	120	45	88	4	176	47	10	24
Sbene_G00197	0	0	0	0	1	4	1	0
Sbene_G00199	0	0	0	0	0	0	0	0
Sbene_G00200	0	0	0	0	0	0	0	0
Sbene_G00201	0	1	0	6	0	0	3	0
Sbene_G00202	810	1389	453	2014	1969	3951	493	1417
Sbene_G00203	0	0	0	0	8	8	0	0
Sbene_G00204	0	0	0	0	2	2	0	0
Sbene_G00205	0	0	0	0	0	0	0	0
Sbene_G00206	0	0	0	0	0	0	0	0
Sbene_G00207	0	0	0	0	2	2	0	0
Sbene_G00209	7	0	8	2	674	25	74	2
Sbene_G00210	0	0	0	1	0	1	0	0
Sbene_G00211	21	7	49	34	19	5	9	22
Sbene_G00212	0	0	0	0	0	4	0	0
Sbene_G00213	0	0	0	0	0	0	2	0
Sbene_G00215	0	0	0	26	0	1	1	0
Sbene_G00216	2	3	1	6	1	0	19	8
Sbene_G00217	0	1	2	0	0	3	0	0
Sbene_G00218	0	0	0	0	0	0	0	0
Sbene_G00220	0	0	0	0	0	0	2	0
Sbene_G00221	0	0	0	0	0	0	2	0
Sbene_G00222	0	0	0	0	0	0	0	0
Sbene_G00223	107	265	469	353	106	238	270	698
Sbene_G00224	86	73	75	41	86	117	0	0
Sbene_G00225	8	21	27	140	78	120	5	117
Sbene_G00226	4	8	12	72	73	139	4	22
Sbene_G00227	0	4	0	11	40	35	0	0
Sbene_G00228	29	91	6	16	52	42	37	49
Sbene_G00229	20	3	37	9	177	18	0	0
Sbene_G00230	0	6	2	6	2	2	0	0
Sbene_G00231	0	0	0	0	0	0	0	0
Sbene_G00232	5	3	4	17	8	13	1	5
Sbene_G00233	0	0	0	0	0	0	0	0
Sbene_G00234	0	0	0	2	0	0	0	0
Sbene_G00235	0	1	0	27	17	181	0	10
Sbene_G00236	0	0	0	0	0	0	0	0
Sbene_G00237	2	2	0	0	9	11	0	0
Sbene_G00238	0	0	0	0	63	23	0	0
Sbene_G00239	0	0	1	0	2	3	0	0
Sbene_G00240	0	0	0	0	0	0	6	0
Sbene_G00241	0	0	4	0	6	2	0	0
Sbene_G00242	0	0	0	0	0	0	0	0
Sbene_G00243	0	0	0	0	2	0	0	0
Sbene_G00244	0	0	0	0	0	0	0	0
Sbene_G00250	0	0	0	0	0	0	0	0
Sbene_G00251	0	0	0	0	0	0	0	0
Sbene_G00252	0	0	0	0	0	0	0	0
Sbene_G00253	0	0	0	0	0	0	0	0
Sbene_G00254	0	0	0	0	0	0	0	0
Sbene_G00255	0	0	0	0	0	0	0	0
Sbene_G00257	0	0	0	0	0	0	0	0
Sbene_G00258	0	0	2	0	0	0	0	2
Sbene_G00259	0	0	0	0	0	0	2	0
Sbene_G00260	2	10	32	70	10	37	1	54
Sbene_G00261	9	18	16	73	129	61	0	12
Sbene_G00262	0	0	0	0	0	0	0	0
Sbene_G00263	0	0	0	0	0	0	0	0
Sbene_G00264	0	2	0	0	1	2	1	0
Sbene_G00265	14	27	55	21	79	61	7	4
Sbene_G00269	0	0	2	0	1	0	3	0
Sbene_G00270	0	0	0	0	0	0	0	0
