sampleName	Replicate	crossID	populationOrigin	Genotype	Generation	MaternalGenotype	TissueType	PooledCount	reads_postTrim	Project	seq_Run	seq_Lane	fileName
Bay2Z_16cell	1	Bay2Z	Bayonne	PP	P0	P	16cell	80	21836883	timecourse	tc2	L001	Bay2Z_PP_16cell_80_5-23_S5_L001_quant.sf
Bay2Z_prototroch	1	Bay2Z	Bayonne	PP	P0	P	prototroch	60	14932530	timecourse	tc2	L001	Bay2Z_PP_prototroch_60_5-19_S8_L001_quant.sf
BayGG_16cell	1	BayGG	Bayonne	PP	P0	P	16cell	50	658	timecourse	tc1	L001	BayGG_PP_16cell_50_S20_L001_quant.sf
BayGG_blastula	1	BayGG	Bayonne	PP	P0	P	blastula	80	1214	timecourse	tc1	L002	BayGG_PP_blastula_80_S64_L002_quant.sf
BayGG_gastrula	1	BayGG	Bayonne	PP	P0	P	gastrula	70	8853594	timecourse	tc1	L002	BayGG_PP_gastrula_70_S66_L002_quant.sf
BayGG_prototroch	1	BayGG	Bayonne	PP	P0	P	prototroch	60	7988361	timecourse	tc1	L002	BayGG_PP_prototroch_60_S67_L002_quant.sf
BayGG_swimming	1	BayGG	Bayonne	PP	P0	P	swimming	50	8060542	timecourse	tc1	L002	BayGG_PP_swimming_50_S69_L002_quant.sf
BayHH_blastula	1	BayHH	Bayonne	PP	P0	P	blastula	80	9273415	timecourse	tc1	L002	BayHH_PP_blastula_80_S70_L002_quant.sf
BayHH_gastrula	1	BayHH	Bayonne	PP	P0	P	gastrula	70	16419630	timecourse	tc1	L001	BayHH_PP_gastrula_70_S23_L001_quant.sf
BayHH_prototroch	1	BayHH	Bayonne	PP	P0	P	prototroch	70	12260936	timecourse	tc1	L002	BayHH_PP_prototroch_70_S73_L002_quant.sf
BayHH_swimming	1	BayHH	Bayonne	PP	P0	P	swimming	50	14144365	timecourse	tc1	L001	BayHH_PP_swimming_50_S27_L001_quant.sf
BayII_gastrula	1	BayII	Bayonne	PP	P0	P	gastrula	70	35940236	timecourse	tc2	L001	BayII_PP_gastrula_70_S10_L001_quant.sf
